cpu,pc,opcode_hash,flags,width,count,first_sequence,first_frame,last_frame,sample_raw,sample_value,min_slot,max_slot
0,0x008b004c,0x00000000,9,2,6684,3122088,15,1339,0x008b004c,0x00006a04,0,0
1,0xc0000142,0x00000000,10,4,212232,135141613,398,1339,0xc0000778,0xfff80000,0,1
2,0xc0000142,0x00000000,10,4,108284,135147087,398,1339,0xc0000778,0xff300000,0,1
1,0xc0000652,0x00000000,9,2,4290,135248419,398,1339,0xc0000652,0x0000364c,0,0
2,0xc0000652,0x00000000,9,2,20,179796822,506,512,0xc0000652,0x0000364c,0,0
1,0xc0000168,0x00000000,9,2,106116,135141645,398,1339,0xc0000168,0x0000000a,0,0
2,0xc0000168,0x00000000,9,2,54348,135147119,398,1339,0xc0000168,0x0000000a,0,0
0,0x00885d58,0x00000000,9,2,21,457243753,1254,1317,0x00885d58,0x00004eba,0,0
2,0xc00000c8,0x00000000,10,4,2935,135694793,399,1338,0x0600fff4,0x06003a16,0,0
1,0xc00005d8,0x00000000,9,2,27,135260376,398,473,0xc00005d8,0x0000e210,0,0
2,0xc00000ee,0x00000000,9,2,20573,135425764,398,1339,0xc00000ee,0x00001610,0,0
1,0xc00000ee,0x00000000,9,2,11812,135505724,398,1339,0xc00000ee,0x00001610,0,0
0,0x008b1300,0x00000000,9,2,25,134211484,395,1255,0x008b1300,0x00001801,0,0
0,0x008b0e16,0x00000000,9,2,3,134205696,394,743,0x008b0e16,0x000033fc,0,0
0,0x00898994,0x00000000,10,2,1411,134172436,394,1339,0x00ff60a8,0x00000000,0,0
0,0x008989ba,0x00000000,9,2,1411,134172872,394,1339,0x008989ba,0x00003499,0,0
2,0xc000004e,0x00000000,10,2,43017,135588804,398,1338,0x06018026,0x00000066,0,0
1,0xc000055e,0x00000000,9,2,5,159048746,455,1115,0xc000055e,0x0000b055,0,0
2,0xc000055e,0x00000000,9,2,1,181179204,509,509,0xc000055e,0x0000b055,0,0
1,0xc0000074,0x00000000,9,2,12327,135180433,398,1339,0xc0000074,0x0000a01d,0,0
2,0xc0000074,0x00000000,9,2,42770,135187341,398,1339,0xc0000074,0x0000a01d,0,0
0,0x0088dd50,0x00000000,6,4,40,406181934,1117,1233,0x00fffff8,0x0088dd54,0,0
0,0x0089891a,0x00000000,10,2,1411,134170697,394,1339,0x00ff602e,0x0000f6f2,0,0
0,0x00898940,0x00000000,9,2,1411,134171247,394,1339,0x00898940,0x00003499,0,0
1,0xc00004e4,0x00000000,9,2,2,159050073,455,473,0xc00004e4,0x0000b092,0,0
0,0x008b0838,0x00000000,9,2,4,305106202,841,1255,0x008b0838,0x00004a2e,0,0
0,0x008b034e,0x00000000,9,2,1029,169944899,482,1234,0x008b034e,0x0000dc6d,0,0
2,0x00000216,0x00000000,6,4,1,284571,5,5,0x20004024,0x535f4f4b,0,0
1,0xc000046a,0x00000000,9,2,4,159052366,455,1115,0xc000046a,0x0000e220,0,0
0,0x008b1192,0x00000000,9,2,83,458028970,1258,1339,0x008b1192,0x00004a01,0,0
0,0x008b0ca8,0x00000000,9,2,7,169945085,482,784,0x008b0ca8,0x00004eba,0,0
0,0x008b02ae,0x00000000,10,1,806,169944882,482,1339,0x00ff8570,0x00000080,0,0
0,0x008b07be,0x00000000,9,2,4,305106126,841,1255,0x008b07be,0x00001803,0,0
1,0xc00003ca,0x00000000,10,2,1585,135261998,398,1339,0xc00003f2,0x00005555,0,0
2,0xc00003ca,0x00000000,10,2,86,458276574,1258,1339,0xc00003f2,0x00005555,0,0
0,0x008b0744,0x00000000,9,2,3,133677194,392,742,0x008b0744,0x00004a6e,0,0
0,0x008b025a,0x00000000,9,2,633,147906535,428,1233,0x008b025a,0x00006702,0,0
1,0xc0000122,0x00000000,6,4,51278,135177126,398,1339,0x0600f408,0xff84ed2e,0,0
2,0xc0000122,0x00000000,6,4,22524,135184953,398,1339,0x0600f608,0x0036f88e,0,0
2,0xc0000376,0x00000000,9,2,646,135217077,398,1339,0xc0000376,0x00008b01,0,0
1,0xc0000376,0x00000000,9,2,7530,135283587,398,1339,0xc0000376,0x00008b01,0,0
0,0x008b1334,0x00000000,6,4,100,134212258,395,1255,0x00ffffdc,0x008b1338,0,0
0,0x008b0b8e,0x00000000,10,4,5,1313185,9,1236,0x00ffffb8,0x008b0bb8,0,0
0,0x008b109e,0x00000000,9,2,7,169945068,482,784,0x008b109e,0x00006000,0,0
0,0x008b0bb4,0x00000000,9,2,5,1312149,9,1235,0x008b0bb4,0x00004eba,0,0
0,0x008b06ca,0x00000000,9,2,3,133677066,392,742,0x008b06ca,0x00001e2b,0,0
0,0x008b01e0,0x00000000,9,2,485,134212497,395,1339,0x008b01e0,0x00006636,0,0
1,0xc00002fc,0x00000000,9,2,4572,135262048,398,1339,0xc00002fc,0x000051c7,0,0
2,0xc00002fc,0x00000000,9,2,312,179799310,506,1339,0xc00002fc,0x000051c7,0,0
0,0x008b150e,0x00000000,9,2,15,302660404,834,1234,0x008b150e,0x00007000,0,0
0,0x008b062a,0x00000000,10,4,3,133676816,392,742,0x008b2b20,0x008b8118,0,0
0,0x00898974,0x00000000,6,2,1411,134171991,394,1339,0x00a15112,0x00000000,1,1
0,0x008b0650,0x00000000,9,2,3,133676835,392,742,0x008b0650,0x00006776,0,0
0,0x008b0166,0x00000000,9,2,284,134212479,395,1339,0x008b0166,0x00004a05,0,0
1,0xc0000282,0x00000000,9,2,22210,135177084,398,1339,0xc0000282,0x0000000b,0,0
2,0xc0000282,0x00000000,9,2,12629,135187062,398,1339,0xc0000282,0x0000000b,0,0
0,0x008988fa,0x00000000,6,2,1411,134170366,394,1339,0x00a15112,0x0000f03c,1,1
0,0x008b00ec,0x00000000,9,2,11,138401308,405,1143,0x008b00ec,0x00006004,0,0
2,0x00000208,0x00000000,9,2,11,87800,3,5,0x00000208,0x0000c608,0,0
1,0x00000208,0x00000000,9,2,1,87842,3,3,0x00000208,0x0000c801,0,0
1,0xc0000208,0x00000000,9,2,215206,135176916,398,1339,0xc0000208,0x00008b08,0,0
2,0xc0000208,0x00000000,9,2,101474,135184755,398,1339,0xc0000208,0x00008b08,0,0
0,0x008b13f4,0x00000000,10,1,13,134217435,395,774,0x008b8353,0x00000001,0,0
0,0x008b05a8,0x00000000,9,2,3,95429568,241,1235,0x008b05a8,0x00006500,0,0
0,0x008b00be,0x00000000,9,2,38,134205662,394,1234,0x008b00be,0x00001d7c,0,0
1,0xc00001da,0x00000000,9,2,47606,135141594,398,1339,0xc00001da,0x00004118,0,0
2,0xc00001da,0x00000000,9,2,98871,135147068,398,1339,0xc00001da,0x00004118,0,0
0,0x008b13ec,0x00000000,9,2,13,134217428,395,774,0x008b13ec,0x00001b5c,0,0
0,0x008b0044,0x00000000,9,2,1114,3122084,15,1339,0x008b0044,0x00007e05,0,0
1,0xc000064a,0x00000000,9,2,4290,135248414,398,1339,0xc000064a,0x0000040a,0,0
2,0xc000064a,0x00000000,9,2,20,179796817,506,512,0xc000064a,0x0000040a,0,0
1,0xc0000160,0x00000000,9,2,106143,135141636,398,1339,0xc0000160,0x0000054f,0,0
2,0xc0000160,0x00000000,9,2,54518,135147110,398,1339,0xc0000160,0x0000054f,0,0
2,0xc0000670,0x00000000,10,4,3016,135427480,398,1339,0xc0000784,0xffff4b9c,0,1
1,0xc0000670,0x00000000,10,4,13910,270039073,743,1232,0xc0000784,0xffff4b80,0,1
0,0x00892e3c,0x00000000,9,2,576,270693940,744,871,0x00892e3c,0x000073f8,0,0
0,0x008b0fc0,0x00000000,6,1,163,133677506,392,1233,0x00c00011,0x0000009f,0,0
1,0xc00005d0,0x00000000,9,2,16,155330627,446,1115,0xc00005d0,0x0000e320,0,0
2,0xc00000e6,0x00000000,9,2,20573,135425759,398,1339,0xc00000e6,0x000063d5,0,0
1,0xc00000e6,0x00000000,9,2,11812,135505719,398,1339,0xc00000e6,0x000063d5,0,0
0,0x008b0a5c,0x00000000,6,4,2,95429578,241,349,0x00ffffe4,0x008b0a60,0,0
0,0x008989b2,0x00000000,9,2,1411,134172766,394,1339,0x008989b2,0x00003499,0,0
0,0x008989d8,0x00000000,10,2,1411,134173314,394,1339,0x00ff60ec,0x00000000,0,0
1,0xc0000556,0x00000000,9,2,5,159048679,455,1115,0xc0000556,0x0000b059,0,0
2,0xc0000556,0x00000000,9,2,1,181179137,509,509,0xc0000556,0x0000b059,0,0
1,0xc000006c,0x00000000,9,2,18107,135176838,398,1339,0xc000006c,0x000066d5,0,0
2,0xc000006c,0x00000000,9,2,46607,135184677,398,1339,0xc000006c,0x000066d5,0,0
0,0x008b000e,0x00000000,6,1,1118,3032195,14,1339,0x00ff850e,0x00000000,0,0
0,0x00898938,0x00000000,9,2,1411,134171137,394,1339,0x00898938,0x00003499,0,0
0,0x0089895e,0x00000000,10,2,1411,134171673,394,1339,0x00ff6072,0x00000000,0,0
0,0x008b03e6,0x00000000,10,4,284,134212567,395,1339,0x00ffffe4,0x008b0136,0,0
1,0xc00004dc,0x00000000,9,2,2,159050006,455,473,0xc00004dc,0x0000b096,0,0
0,0x008b0e52,0x00000000,6,4,1148,134466135,395,1233,0x00ffffe4,0x008b0e56,0,0
0,0x008b0d1a,0x00000000,9,2,895,1312424,9,1339,0x008b0d1a,0x00004e75,0,0
0,0x008b122a,0x00000000,10,1,12,134205680,394,1234,0x00ff8549,0x00000000,0,0
1,0xc0000462,0x00000000,9,2,8,159041893,455,1115,0xc0000462,0x0000e210,0,0
0,0x008b118a,0x00000000,9,2,83,458023504,1257,1339,0x008b118a,0x00004880,0,0
0,0x008b0ca0,0x00000000,9,2,93,306174701,844,1339,0x008b0ca0,0x00004e75,0,0
0,0x0089897c,0x00000000,6,2,1411,134172117,394,1339,0x00a15112,0x00000000,1,1
0,0x008b07b6,0x00000000,9,2,4,305106122,841,1255,0x008b07b6,0x00007c30,0,0
0,0x008b02cc,0x00000000,9,2,799,169944907,482,1339,0x008b02cc,0x0000e049,0,0
1,0xc00003e8,0x00000000,9,2,2,179773661,506,509,0xc00003e8,0x0000aff8,0,0
2,0xc00003e8,0x00000000,9,2,86,179799254,506,1339,0xc00003e8,0x0000aff8,0,0
0,0x008b0c26,0x00000000,9,2,2,1049095,8,14,0x008b0c26,0x000043f9,0,0
0,0x00898902,0x00000000,6,2,1411,134170472,394,1339,0x00a15112,0x0000dc64,1,1
0,0x008b073c,0x00000000,9,2,3,133677193,392,742,0x008b073c,0x00006a06,0,0
0,0x008b0278,0x00000000,10,4,93,148319307,429,1233,0x00ffffe4,0x008b0e5a,0,0
2,0xc000036e,0x00000000,9,2,646,135217074,398,1339,0xc000036e,0x00003463,0,0
1,0xc000036e,0x00000000,9,2,7530,135283584,398,1339,0xc000036e,0x00003463,0,0
2,0xc0000394,0x00000000,10,4,1168,135184841,398,1339,0xc00003f4,0x00100000,0,0
1,0xc0000394,0x00000000,10,4,954,135251207,398,1339,0xc00003f4,0x00100000,0,0
0,0x008b0ce4,0x00000000,6,1,1996,1311412,9,1339,0x00a04000,0x0000002b,0,0
0,0x0088169c,0x00000000,9,2,1127,2629427,14,1339,0x0088169c,0x0000227b,0,0
1,0xc00002f4,0x00000000,9,2,784,405502342,1115,1232,0xc00002f4,0x00000028,0,0
2,0xc000031a,0x00000000,10,2,11222,135187037,398,1339,0x0600f61e,0x00000005,0,0
