frame,msh2_cycles,ssh2_cycles,comm7_before,comm7_after,is_32x
656,20457,306630,0x0000,0x0000,1
657,1888,305905,0x0000,0x0000,1
658,306437,306405,0x0000,0x0000,1
659,20457,306630,0x0000,0x0000,1
660,1924,305905,0x0000,0x0000,1
661,306444,306405,0x0000,0x0000,1
662,22813,306630,0x0000,0x0000,1
663,1888,305890,0x0000,0x0000,1
664,306444,306400,0x0000,0x0000,1
665,22849,306630,0x0000,0x0000,1
666,1944,305895,0x0000,0x0000,1
667,306440,306405,0x0000,0x0000,1
668,22797,306630,0x0000,0x0000,1
669,1888,305900,0x0000,0x0000,1
670,306444,306410,0x0000,0x0000,1
671,22849,306630,0x0000,0x0000,1
672,1888,305905,0x0000,0x0000,1
673,306444,306395,0x0000,0x0000,1
674,22849,306630,0x0000,0x0000,1
675,2583,305905,0x0000,0x0000,1
676,306411,306380,0x0000,0x0000,1
677,22187,306615,0x0000,0x0000,1
678,2583,305905,0x0000,0x0000,1
679,306407,306365,0x0000,0x0000,1
680,22191,306630,0x0000,0x0000,1
681,2583,305900,0x0000,0x0000,1
682,306411,306370,0x0000,0x0000,1
683,22187,306630,0x0000,0x0000,1
684,2583,305925,0x0000,0x0000,1
685,306410,306375,0x0000,0x0000,1
686,19789,306630,0x0000,0x0000,1
687,2583,305915,0x0000,0x0000,1
688,306410,306375,0x0000,0x0000,1
689,19789,306630,0x0000,0x0000,1
690,2583,305900,0x0000,0x0000,1
691,306410,306374,0x0000,0x0000,1
692,19789,306626,0x0000,0x0000,1
693,2583,305895,0x0000,0x0000,1
694,306410,306375,0x0000,0x0000,1
695,19789,306630,0x0000,0x0000,1
696,2587,305915,0x0000,0x0000,1
697,306410,306365,0x0000,0x0000,1
698,19785,306630,0x0000,0x0000,1
699,2583,305900,0x0000,0x0000,1
700,306410,306380,0x0000,0x0000,1
701,19789,306630,0x0000,0x0000,1
702,2587,305910,0x0000,0x0000,1
703,306410,306370,0x0000,0x0000,1
704,19785,306630,0x0000,0x0000,1
705,2583,305900,0x0000,0x0000,1
