frame,m68k_cycles,msh2_cycles,ssh2_cycles,m68k_useful,msh2_useful,ssh2_useful,active,fb_crc,scene,state,is_32x
269,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
270,127985,0,307356,0,0,0,1,0x162C3F62,0x43C6,0x0000,1
271,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
272,127990,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
273,127986,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
274,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
275,127993,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
276,127981,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
277,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
278,127989,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
279,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
280,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
281,127993,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
282,127981,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
283,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
284,127993,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
285,127983,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
286,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
287,127997,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
288,127977,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
289,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
290,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
291,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
292,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
293,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
294,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
295,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
296,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
297,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
298,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
299,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
300,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
301,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
302,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
303,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
304,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
305,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
306,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
307,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
308,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
309,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
