frame,0xFF7B40,0x2600BC64,0x2600BC68,0x2600BC6C,0x2600BC8C,0x2600BC90,0x2600BC00,0x2600BC0C,0x2600FB64,0x20004020
165,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
166,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
167,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
168,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
169,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
170,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
171,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
172,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
173,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
174,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
175,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
176,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
177,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
178,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
179,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
180,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
181,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
182,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
183,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
184,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
185,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
186,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
187,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
188,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
189,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
190,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
191,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
192,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
193,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
194,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
195,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
196,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
197,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
198,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
199,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
200,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
201,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
202,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
203,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
204,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
205,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
206,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
207,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
208,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
209,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
210,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
211,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
212,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
213,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
214,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
215,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
216,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
217,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
218,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
219,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
220,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
221,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
222,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
223,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
224,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
225,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
226,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
227,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
228,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
229,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
230,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
231,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
232,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
233,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
234,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
235,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
236,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
237,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
238,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
239,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
240,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
241,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
242,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
243,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
244,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
245,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
246,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
247,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
248,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
249,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
250,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
251,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
252,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
253,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
254,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
255,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
256,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
257,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
258,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
259,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
260,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
261,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
262,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
263,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
264,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
265,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
266,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
267,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
268,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
269,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
270,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
271,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
272,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
273,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
274,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
275,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
276,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
277,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
278,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
279,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
280,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
281,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
282,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
283,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
284,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
285,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
286,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
287,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
288,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
289,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
290,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
